id,example_ja,example_zh
n1_0978,公園の鉄棒で、子どもが逆上がりの練習をしている。,孩子在公園的單槓上練習翻上槓。
n1_0979,同じ土俵で議論しなければ、結論は出せない。,如果不在同一個討論基礎上，就無法得出結論。
n1_0980,彼は失敗を引きずって、次の試合にも集中できなかった。,他一直受失敗影響，連下一場比賽也無法專心。
n1_0981,突然の雨で、服がびっしょり濡れてしまった。,突如其來的雨把衣服淋得濕透。
n1_0982,投球フォームを直したら、球速が少し上がった。,修正投球姿勢後，球速稍微提高了。
n1_0983,一度廃れた祭りが、住民の努力で復活した。,曾經式微的祭典在居民努力下復活了。
n1_0984,無名の選手が優勝候補を負かして注目を集めた。,無名選手擊敗奪冠熱門，受到關注。
n1_0985,川にまたがる橋を渡ると、隣の県に入る。,走過橫跨河川的橋，就進入鄰縣。
n1_0986,人混みの中で友人の姿を見失った。,在人群中跟丟了朋友的身影。
n1_0987,先生の助言が、彼を新しい研究分野へ導いた。,老師的建議引導他走向新的研究領域。
n1_0988,矢は的の中心に命中した。,箭命中了靶心。
n1_0989,彼はその分野の横綱と呼ばれる研究者だ。,他是被稱為該領域頂尖人物的研究者。
n1_0990,期待していた試合は、あっけなく終わってしまった。,原本很期待的比賽，卻意外草草結束。
n1_0991,九回裏に逆転し、チームは劇的な勝利を収めた。,九局下逆轉，球隊戲劇性地取得勝利。
n1_0992,両国は一時的な休戦に合意した。,兩國同意暫時停戰。
n1_0993,終盤に入って、試合の形勢が一気に逆転した。,進入尾聲後，比賽局勢一口氣逆轉。
n1_0994,決勝戦では、延長の末に勝敗が決まった。,決賽中，勝負在延長賽後才分出。
n1_0995,長い交際の末、二人はついにゴールインした。,經過長久交往，兩人終於結婚了。
n1_0996,相手の弱点を分析して、次の作戦を立てた。,分析對手弱點後，擬定了下一步策略。
n1_0997,相手が疲れたところで、一気に攻撃を仕掛けた。,趁對手疲累時，一口氣發動攻擊。
n1_0998,規則違反が確認され、その選手は失格となった。,確認違規後，那名選手被取消資格。
n1_0999,売上ランキングで、国産メーカーが上位を占めた。,銷售排行榜上，國產品牌占了前段名次。
n1_1000,チームは最後まで諦めず、貴重な勝利をつかんだ。,球隊到最後都沒有放棄，拿下了珍貴勝利。
n1_1001,来場者には記念品を進呈します。,我們將贈送紀念品給來場者。
n1_1002,相手の弱点を突く戦術が勝利につながった。,攻擊對手弱點的戰術帶來了勝利。
n1_1003,その歌手は九〇年代に全盛期を迎えた。,那位歌手在九零年代迎來全盛期。
n1_1004,競合より先手を打って、新サービスを発表した。,我們搶在競爭對手之前，率先發表新服務。
n1_1005,経験豊富な新人が加わり、チームの戦力が大きく上がった。,經驗豐富的新人加入後，團隊戰力大幅提升。
n1_1006,祖母は検査のため、市内の総合病院に紹介された。,祖母為了檢查，被轉介到市內的綜合醫院。
n1_1007,大型店に対抗するため、商店街は共同でセールを開いた。,為了對抗大型店，商店街共同舉辦特賣。
n1_1008,応募者が多かったため、参加者は抽選で決められた。,因為報名者很多，參加者以抽籤決定。
n1_1009,激しい雨で試合は一時中断された。,因為大雨，比賽一度暫停。
n1_1010,残り五分で点差はわずか一点だった。,剩下五分鐘時，分差只有一分。
n1_1011,このグラフはデータの変化を動的に表示する。,這張圖會動態顯示資料變化。
n1_1012,彼は決勝戦で三得点を挙げ、優勝に貢献した。,他在決賽拿下三分，為奪冠做出貢獻。
n1_1013,優勝チームには大きなトロフィーが贈られた。,冠軍隊伍獲頒一座大型獎盃。
n1_1014,仕事帰りに野球のナイターを観に行った。,下班後我去看了棒球夜間比賽。
n1_1015,彼女の写真は全国コンテストで入賞した。,她的照片在全國比賽中得獎。
n1_1016,敗戦の原因を分析し、次の試合に備えた。,我們分析輸掉比賽的原因，準備下一場比賽。
n1_1017,今季の成績は三勝二敗だった。,本季成績是三勝二敗。
n1_1018,チームは決勝で敗北したが、最後までよく戦った。,球隊在決賽中敗北，但奮戰到了最後。
n1_1019,後半に入ると、相手チームの反撃が始まった。,進入下半場後，對手隊伍開始反擊。
n1_1020,初心者には少しハンディをつけて試合をした。,比賽時給初學者一些讓分。
n1_1021,序盤から優勢に試合を進め、相手に反撃を許さなかった。,從開局就以優勢推進比賽，不讓對手反擊。
n1_1022,古い資料を寄せ集めて、町の歴史を調べた。,我湊集舊資料，調查城鎮的歷史。
n1_1023,最終レースで逆転し、彼は優勝を決めた。,他在最後一場比賽逆轉，確定奪冠。
n1_1024,彼は番組のレギュラー出演者として人気を集めている。,他作為節目的固定出演者受到歡迎。
n1_1025,批判を重く受け止め、改善策を考える。,我們嚴肅看待批評，思考改善方案。
n1_1026,市場の変化を素早くキャッチする必要がある。,有必要快速掌握市場變化。
n1_1027,彼は足元の石を蹴飛ばして、道の端へ寄せた。,他把腳邊的石頭踢到路邊。
n1_1028,感情をコントロールできず、強い口調で言い返した。,他控制不了情緒，用強烈語氣回嘴。
n1_1029,守備の乱れが失点につながった。,防守失誤導致失分。
n1_1030,この試合では守りを固めることが重要だ。,這場比賽中鞏固防守很重要。
n1_1031,この部署はチームワークがよく、忙しい時期も乗り切れる。,這個部門團隊合作很好，忙碌時期也能撐過去。
n1_1032,練習を休むと、勘が少し鈍る。,一停止練習，直覺就會有點變鈍。
n1_1033,重要な説明を抜かすと、誤解を招きやすい。,漏掉重要說明，容易造成誤解。
n1_1034,彼は新しいバットでホームランを打った。,他用新球棒打出全壘打。
n1_1035,プロジェクトの責任者が後輩にバトンタッチした。,專案負責人把工作交棒給後輩。
n1_1036,運動会の徒競走で、私はびりになってしまった。,運動會賽跑時，我成了最後一名。
n1_1037,じゃんけんは三回続けてあいこだった。,猜拳連續三次平手。
n1_1038,会社の端末ではアダルトサイトへのアクセスが禁止されている。,公司終端設備禁止存取成人網站。
n1_1039,設定を勝手にいじると、システムが動かなくなることがある。,擅自修改設定，有時會讓系統無法運作。
n1_1040,旅行前に古い街並みを紹介するガイドブックを買った。,旅行前我買了一本介紹古老街景的導覽書。
n1_1041,子どもたちは公園でかけっこをして遊んでいる。,孩子們在公園賽跑玩耍。
n1_1042,風が吹くと、店先の風車がくるくる回った。,風一吹，店門口的紙風車就咕嚕咕嚕轉。
n1_1043,展望台から花火を観覧するには予約が必要だ。,要從展望台觀看煙火需要預約。
n1_1044,その映画は空前のヒットとなった。,那部電影成為前所未有的熱門作品。
n1_1045,祖父は古い碁盤を大切に使っている。,祖父很珍惜地使用那副舊圍棋棋盤。
n1_1046,引っ越し前夜まで荷造りが終わらなかった。,搬家前一晚行李都還沒打包完。
n1_1047,駅前にはパチンコ店が何軒も並んでいる。,車站前排列著好幾間柏青哥店。
n1_1048,修理が終わった自転車を店まで引き取りに行った。,我去店裡領回修好的腳踏車。
n1_1049,肩こりがひどいので、帰りにマッサージを受けた。,因為肩頸僵硬很嚴重，我回家路上去按摩了。
n1_1050,子どもが庭で鞠をついて遊んでいる。,孩子在庭院裡拍球玩。
n1_1051,彼は港の風景を油絵で描いた。,他用油畫畫了港口風景。
n1_1052,母は玄関に季節の花を生けた。,母親在玄關插了當季的花。
n1_1053,博物館の学芸員が展示内容を説明してくれた。,博物館的學藝員為我們說明展覽內容。
n1_1054,彼は失礼な一言にかっとなって席を立った。,他因一句失禮的話勃然大怒，站了起來。
n1_1055,彼は宴会で得意の芸を披露した。,他在宴會上表演了拿手技藝。
n1_1056,祖母の家には古い時計などの骨董品が並んでいる。,祖母家裡擺著舊鐘等古董。
n1_1057,作文コンテストで入賞し、学校で表彰された。,我在作文比賽得獎，並在學校接受表揚。
n1_1058,この箱には細かい細工が施されている。,這個盒子上施有細緻工藝。
n1_1059,彼女は自作の陶器を展示会に出品した。,她把自製陶器拿到展覽會展出。
n1_1060,この作家は独特の手法で人物の心理を描く。,這位作家用獨特手法描寫人物心理。
n1_1061,新しい車を見に、メーカーのショールームへ行った。,我去車廠展示間看新車。
n1_1062,江戸の粋を感じさせるデザインが人気を集めている。,讓人感受到江戶風雅的設計受到歡迎。
n1_1063,資料館では昔の農具を展示している。,資料館展示著以前的農具。
n1_1064,彼の作品には独創の精神があふれている。,他的作品充滿獨創精神。
n1_1065,木版画では、彫りの深さで線の表情が変わる。,木刻版畫會因雕刻深淺而改變線條的表情。
n1_1066,この小説は雪国の暮らしの描写が細かい。,這本小說對雪國生活的描寫很細膩。
n1_1067,この寺は国の重要文化財に指定されている。,這座寺院被指定為國家重要文化財。
n1_1068,観客のアンコールに応えて、歌手はもう一曲歌った。,歌手回應觀眾的安可，又唱了一首歌。
n1_1069,彼女は初めて見る楽譜でもすぐに演奏できる。,她即使看到第一次見的樂譜，也能立刻演奏。
n1_1070,祖母は若いころ三味線を習っていた。,祖母年輕時學過三味線。
n1_1071,吹奏楽部は文化祭で行進曲を演奏した。,管樂社在文化祭演奏了進行曲。
n1_1072,祖父は季節の移ろいを短歌に詠むのが好きだ。,祖父喜歡把季節變化寫成短歌。
n1_1073,彼女は少し落ち着いたトーンで説明を続けた。,她用稍微沉穩的語調繼續說明。
n1_1074,古いピアノから柔らかな音色が響いた。,老鋼琴響起柔和的音色。
n1_1075,彼は大学で近代戯曲を研究している。,他在大學研究近代戲曲。
n1_1076,その舞台は社会風刺を交えた喜劇だった。,那齣舞台劇是帶有社會諷刺的喜劇。
n1_1077,映画の脚本を読むと、登場人物の意図がよく分かる。,讀電影劇本後，就能清楚理解登場人物的意圖。
n1_1078,その映画は有名な小説を現代風に脚色したものだ。,那部電影是把知名小說改編成現代風格的作品。
n1_1079,最悪のシナリオを想定して、対策を準備した。,我們假設最糟情境，準備了對策。
n1_1080,彼女は新作映画で主演を務めることになった。,她決定在新電影中擔任主演。
n1_1081,この小説の主人公は、故郷を離れて成長していく。,這本小說的主角離開故鄉後逐漸成長。
n1_1082,人気俳優が来週の番組に出演する。,人氣演員將出演下週的節目。
n1_1083,コンサートの後半で、彼はギターのソロを披露した。,演唱會後半，他表演了吉他獨奏。
n1_1084,俳優たちは台本を片手に稽古を続けた。,演員們一手拿著劇本，繼續排練。
n1_1085,質問がある学生には、授業後に個別に説明した。,對有問題的學生，我在課後個別說明。
n1_1086,資料には若干の誤りがあるため、修正が必要だ。,資料有少許錯誤，因此需要修正。
n1_1087,鉛筆を一ダースまとめて購入した。,我一次買了一打鉛筆。
n1_1088,参加者の大多数は新しい案に賛成した。,參加者中的大多數贊成新方案。
n1_1089,意見が分かれたため、最後は多数決で決めた。,因為意見分歧，最後以多數決決定。
n1_1090,単一の原因だけで、この問題を説明することはできない。,無法只用單一原因解釋這個問題。
n1_1091,売上は初めて一億円を突破した。,銷售額首次突破一億日圓。
n1_1092,参加者は五十人ないし六十人ほどになる見込みだ。,參加者預計約五十到六十人。
n1_1093,三日間の来場者は延べ二万人を超えた。,三天累計來場人數超過兩萬人。
n1_1094,落雷で古い木が真っ二つに割れた。,老樹被雷劈成兩半。
n1_1095,この電球の消費電力は六十ワットだ。,這顆燈泡的耗電功率是六十瓦特。
n1_1096,全員の予定を合わすのは簡単ではない。,要配合所有人的行程並不容易。
n1_1097,彼は買い物の合計を暗算ですぐに出した。,他用心算立刻算出購物總額。
n1_1098,海外の価格を日本円に換算して比較した。,我把海外價格換算成日圓後比較。
n1_1099,彼は約束の時間きっちりに会場へ着いた。,他準時在約定時間抵達會場。
n1_1100,アンケートの回答を集計して、結果を表にまとめた。,我統計問卷回答，將結果整理成表格。
n1_1101,今年の入試倍率は去年より少し高い。,今年的入學考試競爭率比去年稍高。
n1_1102,作業は大方終わったが、細部の確認が残っている。,作業大致完成了，但還剩細節確認。
n1_1103,原材料の値上がりで、価格を大幅に見直した。,因原物料漲價，大幅調整了價格。
n1_1104,調査結果は概ね予想どおりだった。,調查結果大致如預期。
n1_1105,この村は海抜千メートルの高地にある。,這個村落位在海拔一千公尺的高地。
n1_1106,雨で斜面が崩れ、道路が通れなくなった。,斜坡因雨崩落，道路無法通行。
n1_1107,空港にはジャンボ機を見ようと多くの人が集まった。,許多人聚集在機場想看大型噴射客機。
n1_1108,計画を進めるには、種々の問題を解決する必要がある。,要推進計畫，必須解決各式各樣的問題。
n1_1109,たかが一分の遅れでも、乗り換えには大きく響く。,即使不過晚了一分鐘，也會大大影響轉乘。
n1_1110,半端な覚悟では、この仕事は続けられない。,如果決心不夠徹底，這份工作無法持續。
n1_1111,この小さな町には大都市に匹敵する文化施設がある。,這座小鎮有足以匹敵大都市的文化設施。
n1_1112,この料理には新鮮な野菜がふんだんに使われている。,這道料理大量使用新鮮蔬菜。
n1_1113,面積は縦の長さと横の長さを掛けて平方で表す。,面積用長乘以寬，以平方表示。
n1_1114,無理をせず、運動はほどほどにしておいた。,不要勉強，運動適量就好。
n1_1115,子どもたちは泥まみれになって遊んでいた。,孩子們玩得滿身是泥。
n1_1116,小さなりんごを丸ごと一つ食べた。,我整顆吃掉了一顆小蘋果。
n1_1117,応募するには、すべての条件を満たす必要がある。,要報名，必須滿足所有條件。
n1_1118,この地域には古い木造住宅が密集している。,這個地區密集著老舊木造住宅。
n1_1119,荷物の目方を量ってから送料を計算した。,量了包裹重量後，才計算運費。
n1_1120,水槽の容量を立方メートルで計算した。,我用立方公尺計算水槽容量。
n1_1121,靴を左右あべこべに履いていることに途中で気づいた。,走到一半才發現鞋子左右穿反了。
n1_1122,売上は当初の予想を大きく上回った。,銷售額大幅超過原先預期。
n1_1123,雨の日に静かな喫茶店で本を読むのも乙なものだ。,雨天在安靜咖啡店讀書，也別有一番趣味。
n1_1124,データを日付順に配列してから分析した。,把資料按日期排列後再分析。
n1_1125,この道路では事故が頻繁に起きている。,這條道路頻繁發生事故。
n1_1126,二つの処理を並列に進めれば、時間を短縮できる。,如果並行處理兩項作業，就能縮短時間。
n1_1127,価格の安さだけでは、市場で優位に立てない。,只靠價格便宜，無法在市場上取得優勢。
n1_1128,雨上がりの空に、鮮やかな虹がかかった。,雨後天空出現一道鮮明的彩虹。
n1_1129,彼女は淡い青のワンピースを着ていた。,她穿著淺藍色洋裝。
n1_1130,複数の資料を組み合わせて、原因を分析した。,我組合多份資料來分析原因。
n1_1131,磨いた革靴に美しい光沢が出た。,擦亮的皮鞋呈現漂亮光澤。
n1_1132,彼は焦げ茶のコートを着て駅に現れた。,他穿著深褐色大衣出現在車站。
n1_1133,白い壁と黒い家具のコントラストが印象的だ。,白牆與黑色家具的對比令人印象深刻。
n1_1134,包装紙の図案を新しくするため、デザイナーに依頼した。,為了更新包裝紙圖案，我們委託了設計師。
n1_1135,会社は若手社員の育成に力を入れている。,公司致力於培養年輕員工。
n1_1136,その発見は従来の学説を大きく揺るがした。,那項發現大幅動搖了既有學說。
n1_1137,彼は自動車学校で運転の教習を受けている。,他在駕訓班接受駕駛教習。
n1_1138,この椅子は人間工学に基づいて設計されている。,這張椅子是根據人體工學設計的。
n1_1139,彼女は大学で考古学を専攻している。,她在大學主修考古學。
n1_1140,小学校の図画工作で、紙の模型を作った。,小學美術手作課上，我做了紙模型。
n1_1141,座談会では参加者が率直に意見を交換した。,座談會上，參加者坦率交換意見。
n1_1142,外国語の習得には、毎日の練習が欠かせない。,要學會外語，每天練習不可或缺。
n1_1143,弟は高校受験のため、進学塾に通っている。,弟弟為了高中入學考，正在上升學補習班。
n1_1144,工事の進度を確認するため、毎週会議を開いている。,為了確認工程進度，每週都開會。
n1_1145,遅く帰ったので、父に長々と説教された。,因為晚回家，被父親訓斥了很久。
n1_1146,初めて使う人のために、操作の手引きを作成した。,為了初次使用的人，我製作了操作指南。
n1_1147,漢字ドリルを毎日一ページずつ解いている。,我每天寫一頁漢字練習題。
n1_1148,彼は大学で法学を学び、弁護士を目指している。,他在大學學法學，以律師為目標。
n1_1149,彼は将来が有望な若手研究者だ。,他是前途有望的年輕研究者。
n1_1150,この学校では、通訳者の養成に力を入れている。,這所學校致力於培養口譯員。
n1_1151,週に一度、ピアノのレッスンを受けている。,我每週上一次鋼琴課。
n1_1152,放課後に課外活動として演劇の練習をしている。,放學後，我們作為課外活動練習戲劇。
n1_1153,大学の願書は締め切りまでに郵送しなければならない。,大學申請書必須在截止日前寄出。
n1_1154,卒業生が図書館に専門書を寄贈した。,畢業生向圖書館捐贈了專業書籍。
n1_1155,その高校は来年度から男女共学になる。,那所高中從下個學年度起改為男女同校。
n1_1156,師匠は弟子に長年の技を授けた。,師傅把多年的技藝傳授給弟子。
n1_1157,大雪のため、今日は登校時間が一時間遅れた。,因為大雪，今天到校時間延後一小時。
n1_1158,老朽化のため、その橋は一時閉鎖された。,因為老舊，那座橋暫時封閉。
n1_1159,十年ぶりに母校を訪れ、恩師に会った。,我睽違十年回到母校，見了恩師。
n1_1160,成績が優秀な学生は入学金を免除される。,成績優秀的學生可免除入學金。
n1_1161,妹は第一志望の大学に受かった。,妹妹考上了第一志願的大學。
n1_1162,入社初日にオリエンテーションが行われた。,入職第一天舉行了新人說明會。
n1_1163,試験中にカンニングをした学生は失格になった。,考試時作弊的學生被取消資格。
n1_1164,授業をサボって映画を見に行ったことを先生に叱られた。,我翹課去看電影，被老師罵了。
n1_1165,今年の試験では、環境問題に関する問題が出題された。,今年考試出了與環境問題相關的題目。
n1_1166,新入生を迎えるため、先輩たちが準備を進めている。,學長姐們正在準備迎接新生。
n1_1167,児童たちは校庭に整列して、校長の話を聞いた。,學童們在操場整隊，聽校長說話。
n1_1168,来月の総会で新しい役員が選ばれる。,下個月的總會將選出新幹部。
n1_1169,彼は興味のある授業を聴講するため、大学に通っている。,他為了旁聽有興趣的課，持續到大學上課。
n1_1170,彼とは小学校からの同級で、今でも親しい。,他和我是小學同年級，現在仍很親近。
n1_1171,先生のヒントで、ようやく答えに気づいた。,靠老師的提示，我終於想到答案。
n1_1172,試験中に使っていたメモは、その場で没収された。,考試中使用的筆記當場被沒收。
n1_1173,祖父は店を息子に任せて、田舎で隠居生活を始めた。,祖父把店交給兒子，在鄉下開始隱居生活。
n1_1174,研究チームは小型ロケットを打ち上げる実験に成功した。,研究團隊成功進行了發射小型火箭的實驗。
n1_1175,親戚から縁談を持ち込まれたが、彼女は断った。,親戚介紹了一門婚事，但她拒絕了。
n1_1176,父の還暦を祝って、家族で食事会を開いた。,為了慶祝父親六十歲，全家舉辦了聚餐。
n1_1177,申込書には既婚か未婚かを記入する欄がある。,申請書上有填寫已婚或未婚的欄位。
n1_1178,来る大会に向けて、選手たちは練習を重ねている。,為了即將到來的大會，選手們反覆練習。
n1_1179,彼は数年後に再婚し、新しい家庭を築いた。,他幾年後再婚，建立了新的家庭。
n1_1180,産後の体調が戻るまで、無理は禁物だ。,產後身體恢復前，絕對不能勉強。
n1_1181,市が主催する音楽祭には、多くの市民が参加した。,由市政府主辦的音樂祭有許多市民參加。
n1_1182,新婚の二人は駅の近くに小さな部屋を借りた。,新婚的兩人在車站附近租了一間小房間。
n1_1183,創立百周年の記念式典が盛大に行われた。,創立百週年的紀念典禮盛大舉行。
n1_1184,開会セレモニーでは、地元の子どもたちが歌を披露した。,開幕典禮上，當地孩子們表演了歌曲。
n1_1185,父は今年の春に定年退職し、畑仕事を始めた。,父親今年春天屆齡退休，開始種田。
n1_1186,年賀の挨拶を兼ねて、恩師に手紙を送った。,我寄信給恩師，兼作新年問候。
n1_1187,双方の合意が得られず、契約は破棄された。,雙方未能達成共識，契約被廢除。
n1_1188,雛祭りには、娘の健康を願って雛人形を飾る。,女兒節時會擺飾雛人形，祈願女兒健康。
n1_1189,漁師は破れた網を港で丁寧に直していた。,漁夫在港口仔細修補破掉的網。
n1_1190,彼女は三か国語を自在に操る。,她能自如運用三種語言。
n1_1191,夏祭りで配られた団扇には、町の名所が描かれていた。,夏祭發放的團扇上畫著城鎮名勝。
n1_1192,安全基準を満たした玩具だけを店頭に並べている。,店面只陳列符合安全標準的玩具。
n1_1193,大型クレーンで鉄骨をビルの上まで持ち上げた。,用大型起重機把鋼骨吊到大樓上方。
n1_1194,この道具は古代の農具の原型をよく残している。,這件工具很好地保留了古代農具的原型。
n1_1195,父は長い竿を使って、木の上の果実を落とした。,父親用長竿把樹上的果實打下來。
n1_1196,駅前の店では輸入雑貨を多く扱っている。,車站前的店販售許多進口生活雜貨。
n1_1197,健康を保つには、無理のない運動を持続することが大切だ。,要維持健康，持續做不勉強的運動很重要。
n1_1198,正月には重箱に料理を詰めて親戚を迎える。,新年時會把料理裝進重箱迎接親戚。
n1_1199,スチームを当てると、服のしわがきれいに伸びた。,用蒸汽一熨，衣服皺摺就漂亮地展開了。
n1_1200,冷たい飲み物をストローでゆっくり飲んだ。,我用吸管慢慢喝冰飲。
n1_1201,原資料では「そり」と「機」が対応しておらず、原本の確認が必要だ。,原始資料中「そり」和「機」對不上，需要查原書確認。
n1_1202,祖父は外出するとき、必ず杖を持っていく。,祖父外出時一定會帶手杖。
n1_1203,余った予算の使い道を、もう一度検討した。,我們重新檢討剩餘預算的用途。
n1_1204,書類を丸めて筒に入れ、郵送した。,把文件捲起來放進紙筒後寄出。
n1_1205,彼女は説明のつぼを押さえていて、とても分かりやすい。,她掌握了說明的重點，所以非常好懂。
n1_1206,鞄にティッシュペーパーを一つ入れておいた。,我在包包裡放了一包衛生紙。
n1_1207,作業を始める前に、必ず機械の電源を切ってください。,開始作業前，請務必關掉機器電源。
n1_1208,この皿は薄い陶器なので、落とすとすぐ割れる。,這個盤子是薄陶器，一摔就會破。
n1_1209,個人情報の取り扱いには十分注意してください。,請充分注意個人資料的處理方式。
n1_1210,新しいエアコンを寝室に取り付けてもらった。,請人把新冷氣安裝在臥室。
n1_1211,受付で渡されたバッジを胸につけた。,我把報到時拿到的徽章別在胸前。
n1_1212,長時間使うなら、予備のバッテリーを持って行ったほうがいい。,若要長時間使用，最好帶備用電池。
n1_1213,空気清浄機のフィルターを月に一度交換している。,我每個月更換一次空氣清淨機的濾網。
n1_1214,庭の花に水をまくため、長いホースを伸ばした。,為了澆庭院的花，我拉出長水管。
n1_1215,地下にたまった水をポンプでくみ上げた。,用幫浦把積在地下室的水抽上來。
n1_1216,展示室には精巧な模型飛行機が並んでいる。,展示室裡排列著精巧的模型飛機。
n1_1217,彼は弓を引いて、的の中心を狙った。,他拉弓瞄準靶心。
n1_1218,登山用品は、軽さだけでなく耐久性も大切だ。,登山用品不只輕量，耐用性也很重要。
n1_1219,作業員は安全のため、腰にロープを結んだ。,工人為了安全，把繩索繫在腰上。
n1_1220,寒い夜はこたつに入ると、なかなか出られない。,寒冷的夜晚一進暖桌，就很難離開。
n1_1221,地図とコンパスを頼りに、森の中を進んだ。,靠著地圖和指南針在森林中前進。
n1_1222,開演前に着席するよう、係員が案内した。,工作人員引導觀眾在開演前入座。
n1_1223,料理人は毎朝、包丁を丁寧に研ぐ。,廚師每天早上仔細磨菜刀。
n1_1224,汗がシャツににじんで、背中が冷たくなった。,汗水滲進襯衫，背後變得冰冷。
n1_1225,ねじ回しがないと、この棚は組み立てられない。,沒有螺絲起子，就組不起這個架子。
n1_1226,引っ越しのため、古い棚をばらして運んだ。,為了搬家，把舊架子拆開搬運。
n1_1227,どんな問題にも効く万能の解決策はない。,沒有對任何問題都有效的萬能解法。
n1_1228,ゆるんだボルトを締め直してから走行した。,重新鎖緊鬆掉的螺栓後才行駛。
n1_1229,冷めた料理を電子レンジで温め直した。,用微波爐把冷掉的料理重新加熱。
n1_1230,彼には大きな組織を率いる器がある。,他有領導大型組織的器量。
n1_1231,赤ちゃんのおむつを替えてから、外出した。,換好寶寶的尿布後才出門。
n1_1232,食事の前に紙ナプキンを膝に広げた。,用餐前把紙餐巾攤在膝上。
n1_1233,祝いの席で、皆が杯を交わした。,在慶祝場合，大家舉杯相飲。
n1_1234,このギターは弦が硬くて、初心者には弾きにくい。,這把吉他的弦很硬，初學者不容易彈。
n1_1235,駅の付近には飲食店が多い。,車站附近有很多餐飲店。
n1_1236,毎朝ヘルスメーターに乗って、体重を記録している。,我每天早上站上體重計記錄體重。
n1_1237,欠員が出たため、スタッフを二人補充した。,因為出現缺額，補了兩名工作人員。
n1_1238,ポットのお湯で、すぐにお茶を入れた。,用熱水瓶裡的熱水立刻泡了茶。
n1_1239,目盛りを正確に読まないと、分量がずれる。,如果沒有正確讀取刻度，份量會跑掉。
n1_1240,写真を印刷するには、もう少し高い解像度が必要だ。,要印照片，需要再高一點的解析度。
n1_1241,暗い会場で撮影するため、ストロボを使った。,為了在昏暗會場拍攝，使用了閃光燈。
n1_1242,この古いラジオにはトランジスタが使われている。,這台老收音機使用了電晶體。
n1_1243,別室のモニターで、手術室の様子を確認した。,透過另一個房間的螢幕確認手術室情況。
n1_1244,停電に備えて、古いランプを物置から出した。,為了因應停電，把舊燈從儲藏室拿出來。
n1_1245,フィルムを現像すると、旅行中の写真が鮮明に出てきた。,將底片顯影後，旅行中的照片清楚呈現出來。
n1_1246,壊れたデータを再生できるか、専門業者に相談した。,我向專業廠商詢問能否修復損壞的資料。
n1_1247,友人の斡旋で、条件に合う部屋を紹介してもらった。,在朋友斡旋下，有人介紹了符合條件的房間。
n1_1248,彼は残った仕事を一挙に片づけた。,他一口氣處理完剩下的工作。
n1_1249,その提案は、社会的な使命を帯びている。,那項提案帶有社會使命。
n1_1250,けがで離れていた選手が、今季ついにカムバックした。,因傷離隊的選手本季終於復出。
n1_1251,事業が軌道に乗るまで、資金繰りに苦労した。,事業上軌道前，資金調度很辛苦。
n1_1252,十年のキャリアを生かして、新しい部署を任された。,他活用十年的職涯經驗，被交付新部門。
n1_1253,長い仕事に一つの区切りをつけて、休暇を取った。,為長期工作告一段落後，請了假。
n1_1254,新しい機能を既存のシステムに組み込んだ。,把新功能整合進既有系統。
n1_1255,要人の護衛に、警察官が配置された。,為了護衛重要人物，配置了警察人員。
n1_1256,彼女は来月から産休に入る予定だ。,她預計下個月開始休產假。
n1_1257,予約はオンラインシステムから受け付けている。,預約透過線上系統受理。
n1_1258,就業時間中の私用電話は控えてください。,上班時間請避免私人電話。
n1_1259,兄は長年、医療関係の仕事に従事している。,哥哥多年來從事醫療相關工作。
n1_1260,夜間は守衛が入口で出入りを確認している。,夜間由警衛在入口確認人員進出。
n1_1261,新人は九時前に出社して、先輩を待っていた。,新人九點前到公司，等著前輩。
n1_1262,通報を受け、消防隊がただちに出動した。,接獲通報後，消防隊立刻出動。
n1_1263,彼は来月、課長に昇進する。,他下個月會升任課長。
n1_1264,会社の車を私用で使うことは禁止されている。,禁止把公司車用於私人用途。
n1_1265,職務上知り得た情報を外部に漏らしてはいけない。,不可以把職務上得知的資訊洩漏到外部。
n1_1266,庶務を担当する職員が、備品の管理もしている。,負責庶務的職員也管理備品。
n1_1267,この会社は若い人材の育成に力を入れている。,這家公司致力於培養年輕人才。
n1_1268,組合は賃上げを求めてストに入った。,工會為要求加薪而開始罷工。
n1_1269,交通機関のストライキで、多くの通勤客が影響を受けた。,因交通機關罷工，許多通勤族受到影響。
n1_1270,管理者には、利用者の個人情報を守る責務がある。,管理者有保護使用者個人資料的責任。
n1_1271,報告書の最後のセクションに結論をまとめた。,報告書最後一節整理了結論。
n1_1272,多忙な時期でも、確認作業は省けない。,即使在忙碌時期，也不能省略確認作業。
n1_1273,彼なら新しい責任者の役目も十分務まる。,如果是他，足以勝任新負責人的角色。
n1_1274,勤め先が変わって、通勤時間が短くなった。,工作地點換了後，通勤時間變短了。
n1_1275,新聞社は現地に記者を特派した。,報社特別派遣記者到當地。
n1_1276,共稼ぎなので、家事は二人で分担している。,因為夫妻都工作，家事由兩人分擔。
n1_1277,私たちは共働きなので、平日の夕食は簡単に済ませる。,我們是雙薪家庭，所以平日晚餐簡單解決。
n1_1278,エンジンのトラブルで、車が途中で止まった。,因引擎故障，車子半路停了下來。
n1_1279,新しい意見を取り込んで、計画を修正した。,吸收新的意見後，修正了計畫。
n1_1280,次世代を担う若者を育てることが重要だ。,培養肩負下一代的年輕人很重要。
